Topic,Count,Name,Representation,Representative_Docs
92,56,92_tun_chaak_cenote_cenotes,"['tun', 'chaak', 'cenote', 'cenotes', 'carmen', 'tour', 'grupo', 'guia', 'neopreno', 'taxi']","['crucero regreso aspectos destacados viaje excursion increible exploro cenotes chaak tun tour guiado snorkel seguido guia compras local experiencia realmente inolvidable increiblemente informado area chaak tun trajo fantastico recorrido energetico recomiendo encarecidamente visitar tour libros chaak tun', 'chaak tun cenote perfecto quedarse playa carmen minutos auto ciudad vale pena tarifa entrada guia fantastico claramente toma trabajo cantidad correcta informacion historica cenote caverna real chaak tun realmente hermoso vale pena viaje corto', 'esposa cenotes cueva cenotes chaak tun cenote fino visita cenote cueva chaak tun cenotes equipo proporcionado cargo equipo snorkel comprar equipo deseado incluyendo trajes neopreno cargo adicional casilleros disponibles cargo adicional lugares fotografos fotos compra recorrido degustacion tequila disponible recorrido relativamente accesible escalones hechos hombre escaleras entrada iluminacion agua esposa taxi camino recorridos guiados esperando minutos espero caminar llegaria grupo tour formarse minutos esposa obtuvo guia atencion tour sentido chaak tun viene tours organizados vio vans llegan costo crucero pesos tour dolares estadounidenses pagados tour efectivo hora guia ingles cenotes informados ambiente maya maya chaak tun tiempo ventas agua refrescante frio facil trajes neopreno general cueva cenote chaak tun experiencia vale pena excelente cenote cueva recomendaria tour chaak tun cenotes']"
93,56,93_gay_sillas_gays_muertos,"['gay', 'sillas', 'gays', 'muertos', 'hombres', 'heterosexual', 'verdes', 'azules', 'clubes', 'playa']","['gente playa playa gay playa gay cercanias', 'lugar interesante vida gay centro diurno playa encontrar sillas azules hotel gay hotel correr pareja gay nombre sillas playa azul comodo estatua baul encontrar sur sillas verdes lugar reunion playa lugar reunion playa camino ligeramente norte sillones reales caro materia gusto elegir escena gay muelle playa muertos conjunto', 'gay playa genial gente mundo']"
94,56,94_parroquia_guadalupe_senora_luce,"['parroquia', 'guadalupe', 'senora', 'luce', 'tema', 'volveria', 'marco', 'demasiada', 'caracter', 'apreciarla']","['excelente visita parroquia senora guadalupe luce bonita tema ubicacion ninos noche semana siente llevadero recomiendo problema visitas dejan sabor boca', 'experiencia parroquia senora guadalupe luce bonita general tema servicio destaco familia manana puntos tomar fotos definitivamente volveria visitas dejan sabor boca', 'excelente visita parroquia senora guadalupe luce bonita tema ambiente plan tranquilo domingo puntos tomar fotos vale pena gente disfrutar']"
95,55,95_hermoso_simplemente_palabras_describirlo,"['hermoso', 'simplemente', 'palabras', 'describirlo', 'belleza', 'hermosa', 'pribado', 'acaso', 'describirla', 'encanto']","['hermoso', 'ay palabras describirlo hermoso', 'hermoso simplemente hermoso palabras describirlo']"
96,52,96_vista_espectacular_pedazo_hermosa,"['vista', 'espectacular', 'pedazo', 'hermosa', 'ojos', 'vistas', 'luce', 'ojo', 'fregonas', 'encantanda']","['vista espectacular', 'hermosa vista', 'vista hermosa']"
97,52,97_limpio_cabina_bonito_lugar,"['limpio', 'cabina', 'bonito', 'lugar', 'aparenta', 'covid19', 'cubrebocas', 'huracan', 'hermoso', 'seguro']","['lugar agradable limpio', 'limpio agradable lugar', 'lugar limpio hermoso']"
98,51,98_bosque_exuberante_vegetacion_madera,"['bosque', 'exuberante', 'vegetacion', 'madera', 'selva', 'arbol', 'bambu', 'jungla', 'cabanas', 'helechos']","['vista balcon selva cabanas bambu casa arbol techos madera puntiagudos bosque techado casa arbol madera playa ecoaldea fondo bosque bambu estructuras madera verdor vibrante selva verde exuberante vegetacion techos vegetacion desayuno pozas entorno selva bambu fondo selva verde enredaderas selva', 'casa techo plantas cubiertas arcos exuberante verdor paraiso jardin masaje vegetacion exuberante helechos cabanas bambu fondo selva verde vegetacion exuberante helechos arquitectura verde vegetacion exuberante ecoaldea madera playa casa arbol jungla verde selva floral casa arbol fondo paredes verdes vegetacion exuberante plantas llenas habitats terraza verde', 'camino bosque lleno lotes plantas natural jardines botanicos caminar exuberante jungla caminar exuberante bosque bosque tropical madera tropical exuberante vegetacion crecido jardin botanico selva malasia exuberante vegetacion centro bosque camino jungla selva exuberante camino jungla bosque exuberante hermoso camino bosque']"
99,50,99_horarios_am_12_horario,"['horarios', 'am', '12', 'horario', 'pm', 'entrar', 'ingreso', 'fila', '450', 'turnos']","['playa hermosa tranquila manejan 2 horarios entrada cupo limitado entrada gratuita recomiendo llegar anticipacion horarios entrada 8 am 1 pm', 'hermosa playa cuidada numero controlado personas recomendable 7 am formarse auto entrar 8 am 11 am entrar 12 pm turnos cobran cuidala', 'lujo acceso controlado horarios 8 am 12 pm 1 pm 5 pm genial playa paraiso dejar visitarla']"
100,50,100_hombre_fondo_pie_arena,"['hombre', 'fondo', 'pie', 'arena', 'cuerpo', 'relajante', 'posando', 'oceano', 'playa', 'caminando']","['hombre sentado playa arena mexico playa perdida nadando oceano fondo oceano oceanos azul profundo isla mar azul playas blancas playa aguas azules fondo oceano playa pie fondo paraiso playa borde exterior foto oceano', 'hombre pie playa oceano arena pie nadando oceano caminando arena hermosa playa borde exterior playa varamiento fondo playa playa tropical fondo paraiso mar arena playa arena heroico muay thai postura pose posando playa oceano playa perdida', 'hombre caminando playa caminando arena pie playa caminando playa pie playa pie arena playa perdida fondo oceano playa varamiento hermosa playa fondo playa playa andres rios fondo oceano posando playa oceano']"
101,49,101_municipal_cuale_mercado_tema,"['municipal', 'cuale', 'mercado', 'tema', 'rio', 'volveria', 'curiosear', 'caminarlo', 'honestamente', 'llevado']","['excelente visita mercado municipal rio cuale variedad curiosear honestamente tema experiencia general destaco pareja semana calor fuerte conviene agua bloqueador definitivamente volveria nota lugar llevado', 'gusto mercado municipal rio cuale ambiente autentico general tema organizacion destaco ninos semana temporada alta imagino cambia recomiendo problema nota lugar llevado', 'excelente visita mercado municipal rio cuale gusto mezcla puestos colores general tema organizacion plan tranquilo noche disfruto definitivamente volveria quedamos ganas volver tiempo']"
102,49,102_cuale_tema_pausa_isla,"['cuale', 'tema', 'pausa', 'isla', 'rio', 'volveria', 'movimos', 'complicarnos', 'ganas', 'floja']","['visita isla rio cuale gusto pausa tema limpieza sumo muchisimo familia atardecer temporada alta imagino cambia definitivamente volveria quedamos ganas volver tiempo', 'salimos contentos isla rio cuale gusto pausa tema ubicacion semana movimos pie complicarnos definitivamente volveria gente disfrutar', 'salimos contentos isla rio cuale gusto pausa honestamente tema atencion plan tranquilo atardecer movimos pie complicarnos vale pena nota lugar llevado']"
103,49,103_motel_relacionesdepareja_motelesbajacaliforniasur_motelesmexico,"['motel', 'relacionesdepareja', 'motelesbajacaliforniasur', 'motelesmexico', 'moteles', 'moteldelujo', 'erotico', 'sensual', 'lapaz', 'romantico']","['vive experiencia visitanos purple heart round pushpin calle septiembre esq heroes independencia zona central paz motel moteles lapaz motellalapaz lapazmexico parejas relacionesdepareja erotico sensual romantico placer mujeres hombres pasion bajacaliforniasur motelesmexico motelesbajacaliforniasur moteldelujo potrodelamor love ubicacion motelsensaciones', 'vive experiencia visitanos purple heart round pushpin calle septiembre esq heroes independencia zona central paz motel moteles lapaz motellalapaz lapazmexico parejas relacionesdepareja erotico sensual romantico placer mujeres hombres pasion bajacaliforniasur motelesmexico motelesbajacaliforniasur moteldelujo potrodelamor love ubicacion motelsensaciones', 'arte visitanos purple heart round pushpin calle septiembre esq heroes independencia zona central paz motel moteles lapaz motellalapaz lapazmexico parejas relacionesdepareja erotico sensual romantico placer mujeres hombres pasion bajacaliforniasur motelesmexico motelesbajacaliforniasur moteldelujo potrodelamor love ubicacion motelsensaciones']"
104,48,104_tortugas_akumal_salvavidas_buceo,"['tortugas', 'akumal', 'salvavidas', 'buceo', 'chalecos', 'aletas', 'pesos', 'tienda', 'area', 'chaleco']","['tomo colectivo playa carmen lugarenos pequenas camionetas blancas linea carrera diga tabla akumal pagar pp pareja camino toma minimo camino carretera tomar paseo playa toma minuto camino lotes playa oportunidad alquilar aletas mascara snorkel correr pp traer casa comprar equipo barato playa parado centro ecologico obtener guias tortugas necesitan guia quieran salir afuera area cuerdas arrecifes tortugas area cuerdas derecho cara area oceano crece pastos marinos comer quiero chaleco salvavidas mantener susto dano vida silvestre arrecife profundizar nadador fuerte chalecos salvavidas planificacion quedarse cerca costa mantener agua caliente corriente protegida bahia aletas necesarias obtener tortugas cuestion minutos vi tortugas areas mantarrayas pies agua peces nadar agua duda tortugas buscar grupo lugar area acordonada turnaron yendo alguien quedarse pertenencias necesita pagar casillero experiencia unica daria estrellas agua turbia visibilidad fotos resenas viendo agua viva personas visibilidad arena empeoro alguien camino agua cerca yendo probablemente experiencia sombra palmeras mirar toalla trajo almuerzo pie playa supermercado cercano comprar barato comer barato playa cambio bano tarifa planear anticipacion traer ropa usada atrapar colectivo caminar regreso carretera preparado esperar lugarenos colectivos estacionados carretera caminar regreso conductor dirigio esperando suficiente dejar pieza quedarse comer pasar horas agua facilmente horas enteras salir descanso actividades propina dada cantidad turistas recomiendan protector solar sol camisa agua bucear disponible playa facil obtener orden completamente biodegradable tortugas cuidado peces productos quimicos agua agua sol excelente proteccion espalda excelentes precios playa regreso casa', 'playa carmen queria bucear leer decidir akumal leer bucear opcion bucear agradable tomo colectivo pequeno autobus estacion colectivo pregunte akumal colectivo playa carmen necesita dejar caer autopista pesos persona playa distancia minima pie cruzar puente autopista gente llega guias chalecos salvavidas nadar recomendaria chaleco salvavidas contrario crecer pasto tortugas fondo comida ingresada playa vendedores ofrecieron snorkel chalecos salvavidas pesos persona amigable hablo camino tienda buceo alquilar equipo pesos persona acceso duchas banos lugar tienda opcion buscar tortugas necesita nadar cuerda zona publica guias protegidas intente encontrar tortugas ayuda tortugas verdaderas acercarse orilla facil encontrar visto tortugas mantarrayas tipos peces necesito tiempo buscar pasaron minutos vi suerte recomendaria posibles familias ninos playa hermoso animales experimentar gastar dinero propina intentar gente agradable snorkel agua molesta veo regreso mirar gente agua arena gente cosa favor seguir reglas descritas tortugas acercarse cerca tocar animales realmente malos', 'anos guias contratados tienda buceo akumal llevennos tortugas llegaron equipo snorkel miraron equipo bahia tortugas necesitan pagar guia honesto intentan vender necesitan ganar dinero genial vi tortugas altamente recomiendo ano atras cosas cambiaron toneladas gente playa intentando alquilar equipo tours etc diciendo etc area boyada permanecer aletas guia cosa diga snorkeling playa alquiler bote tomar costos lugar guia necesita mascara snorkel vida alquilar alquilar aletas guia use aletas aletas cortas buceo akumal tienda alquiler alquiler pesos alquiler limitado centro buceo alquiler guia tienda buceo akumal aletas cortas pesos razonables nadador decente necesita aletas tortugas nota vi personas usando aletas tamano completo regulaciones riesgo tortugas comer pasto aviso playa mirando area boyas permanecer pasto pie playa mirando boyas hierba extremo derecho linea boyas tortugas gente viendo derecha boyas botes atados rectos yardas pasto pies profundidad sierra grupo tortugas peces rompiendo reglas grupo gente adivina rompiendo reglas guias gente tortugas tiempo playa alquilar aletas playa bucear gente buceando gente personas dondequiera vean reunidos oportunidades mirando tortuga viendo tortugas piensan llegar conduje minutos pasar minutos mirando tortugas divertido cosas probablemente alquilar casillero tienda buceo akumal nadar listo obtener derecho agua izquierda objetos valor auto caminado playa sur mirando derecha frente agua pareja hoteles derecho agua izquierda toallas frente parecer invitados hotel molesto cosas hotel caminando estacionamientos entrada akumal izquierdo parque precio pesos arboles parque siente creer resenas cambiado increible dinero criatura entorno natural mirar obtener palo aire linda cabecita agua olvidar']"
105,47,105_pelicanos_aves_pescar_sonido,"['pelicanos', 'aves', 'pescar', 'sonido', 'pelicano', 'pescando', 'marea', 'olas', 'observando', 'fragata']","['pasear malecon semana vistas puerto vallarta increibles encanto pelicanos pescar colocar playa tomar cerveza fria tacos pescado amor malecon malecon', 'pasear malecon semana puerto vallarta vistas increibles encanto pelicanos pescar colocar playa tomar cerveza fria pescado amor malecon malecon', 'hermosa playa agua cristalina caminar marea baja diversion pelicanos bucear peces']"
106,47,106_nieve_nieves_helado_invierno,"['nieve', 'nieves', 'helado', 'invierno', 'frio', 'disfrutar', 'malecon', 'pasar', 'comer', 'degustar']","['encanta caminar malecon nieve', 'hermoso malecon caminar comer nieve disfrutar puesta sol', 'super tranquilo caminar disfrutar nieve']"
107,46,107_puertovallartajaliscomexico_organizaciondeviajes_consultaatuagentedeviajesesunexperto_elplacerdeviajar,"['puertovallartajaliscomexico', 'organizaciondeviajes', 'consultaatuagentedeviajesesunexperto', 'elplacerdeviajar', 'aquiquieromiviaje', 'viajaresvivir', 'visitpuertovallarta', 'proximas', 'puertovallarta', 'https']","['viajar vivir disfrutar momento hotel puerto luna puerto vallarta espera proximas vacaciones informacion https www organizaciondeviajes com mx promociones php p seguidores destacar organizaciondeviajes viajaresvivir hotelpuertodeluna elplacerdeviajar vacaciones aquiquieromiviaje consultaatuagentedeviajesesunexperto organizaciondeviajes puertovallarta puertovallartamexico puertovallartajalisco puertovallartajaliscomexico puertovallartajaliscomexico visitpuertovallarta', 'viajar vivir disfrutar momento hotel costa puerto vallarta espera proximas vacaciones informacion https www organizaciondeviajes com mx promociones php p seguidores destacar organizaciondeviajes viajaresvivir hotelcostasurpuertovallarta elplacerdeviajar vacaciones aquiquieromiviaje consultaatuagentedeviajesesunexperto organizaciondeviajes puertovallarta puertovallartamexico puertovallartajalisco puertovallartajaliscomexico puertovallartajaliscomexico visitpuertovallarta', 'viajar vivir disfrutar momento hotel krystal puerto vallarta espera proximas vacaciones informacion https www organizaciondeviajes com mx promociones php p seguidores destacar organizaciondeviajes viajaresvivir hotelkrystalpuertovallarta elplacerdeviajar vacaciones aquiquieromiviaje consultaatuagentedeviajesesunexperto organizaciondeviajes puertovallarta puertovallartamexico puertovallartajalisco puertovallartajaliscomexico puertovallartajaliscomexico visitpuertovallarta']"
108,46,108_artesanias_mercado_tema_autentico,"['artesanias', 'mercado', 'tema', 'autentico', 'malecon', 'imagino', 'cambia', 'volveria', 'caminarlo', 'domingo']","['excelente visita mercado artesanias malecon ambiente autentico honestamente tema organizacion sumo muchisimo domingo temporada alta imagino cambia recomiendo problema sintio comodo', 'viaje mercado artesanias malecon ambiente autentico tema vista impresion noche temporada alta imagino cambia parada recomendable gente disfrutar', 'excelente visita mercado artesanias malecon ambiente autentico general tema organizacion amigos vacaciones temporada alta imagino cambia vale pena gente disfrutar']"
109,46,109_historia_region_bcs_peninsula,"['historia', 'region', 'bcs', 'peninsula', 'regional', 'norte', 'cultura', 'interesante', 'eurocentrista', 'nociones']","['excelente lugar historia', 'historia', 'historia']"
110,45,110_helado_cafe_comer_rico,"['helado', 'cafe', 'comer', 'rico', 'paseo', 'pasear', 'hielo', 'rumbo', 'disfrutar', 'conoci']","['helado bonita puesta sol casa', 'excelente lugar pasear disfrutar delicioso helado', 'excelente lugar disfrutar atardecer cena helado']"
111,45,111_celebracion_pacal_votan_comunidad,"['celebracion', 'pacal', 'votan', 'comunidad', 'sosteniendo', 'pizza', 'concurso', 'grupo', 'verde', 'golondrinas']","['grupo gente parada mesa pizza comunidad celebracion vendedores ambulantes vendedor salsa celebracion productos cafe golondrinas pacal votan tacos macuahuitl vendedores comida enfoque desayuno pozas cinematica pudenda celebrando muerto dando regalos gente', 'hombre vestido camisa blanca comunidad celebracion salud partidario pablo perdomo pacal votan comida enfoque celebracion productos cafe amagaitaro ayahausca elecciones presidenciales candidatos alegria pudenda ruanjia heroes locales chuquicamata juan caloto hosada', 'grupo gente pie sala comunidad celebracion celebracion productos cafe comida atencion pacal votan coban salud partidario verde bendicion chuquicamata heroes locales imet verde marron ropa verde blanco dando regalos gente golondrinas sosteniendo fuego verde']"
112,44,112_tacos_mariscos_tema_esperado,"['tacos', 'mariscos', 'tema', 'esperado', 'tour', 'volveria', 'quedamos', 'ganas', 'armado', 'organizacion']","['visita tour tacos mariscos logistica salio esperado tema ambiente supero esperado atardecer disfruto definitivamente volveria quedamos ganas volver tiempo', 'experiencia tour tacos mariscos recorrido armado tema organizacion supero esperado familia domingo movimos pie complicarnos definitivamente volveria sintio comodo', 'experiencia tour tacos mariscos logistica salio esperado tema servicio supero esperado pareja vacaciones temporada alta imagino cambia volveria incluir viaje quedamos ganas volver tiempo']"
113,44,113_mercado_tema_mar_caminarlo,"['mercado', 'tema', 'mar', 'caminarlo', 'positiva', 'marco', 'curiosear', 'diferencia', 'mezcla', 'volveria']","['volveria pensarlo mercado mar encuentran recuerdos bonitos tema servicio marco diferencia positiva familia noche conviene tiempo prisa parada recomendable nota lugar llevado', 'viaje mercado mar gusto mezcla puestos colores honestamente tema organizacion marco diferencia positiva papas domingo conviene tiempo prisa definitivamente volveria gente disfrutar', 'sorpresa mercado mar vale pena caminarlo calma honestamente tema limpieza marco diferencia positiva papas manana calor fuerte conviene agua bloqueador recomiendo problema visitas dejan sabor boca']"
114,44,114_hermoso_lugar_aglomeraciones_bello,"['hermoso', 'lugar', 'aglomeraciones', 'bello', 'banarse', 'unico', 'bonito', '', '', '']","['hermoso lugar', 'hermoso lugar', 'hermoso lugar']"
115,44,115_pancho_desierta_san_nayarit,"['pancho', 'desierta', 'san', 'nayarit', 'corazon', 'cara', 'sayulita', 'traje', 'isla', 'sol']","['caminata san pancho nayarit isla desierta sol cara corazon traje mujer surf agua ola', 'san pancho nayarit isla desierta sol cara corazon traje', 'playa playa san pancho nayarit isla desierta sol cara corazon traje']"
116,44,116_estacionamiento_estacionar_sitio_ruinas,"['estacionamiento', 'estacionar', 'sitio', 'ruinas', 'entrada', 'boleto', 'boletos', 'pagar', 'mostrador', 'estacionamientos']","['estacionamiento complejo seguro estacionamiento oficial marcado personas diciendo camino cerrado tratando estacionar ignorado llevado finalizado sitio estacionamiento correr similar minutos caminar entrada pago pagar viaje barco ruinas metros distancia viaje barco ofrecer cosa tiendas traer agua sombrero taquilla tomar pesos mente cara tipo cambio oficina', 'tulum lugar administrar tiendas bares restaurantes ruinas estacionamiento cobrar estacionamiento plaza pensar plaza estacionamiento extremadamente caro ruinas estacionamiento', 'lugar estacionamiento']"
117,44,117_horarios_horario_am_pm,"['horarios', 'horario', 'am', 'pm', 'entrar', '12', '450', 'tienes', '1230', 'cupo']","['horarios tomar permite numero personas horario matutino 8 am 1 pm vespertino 1 pm 6 pm', 'padre 2 horarios par entrar 9 am 1 pm tienes q llegar hora q puedes entrar 400 personas', 'hermoso acceso gratuito aceptan cantidad personas horario manejan 2 horarios entrar 8 am salir 12 pm entrar 1 pm salir 5 pm']"
118,43,118_buceriasnayaritmexico_mexico_buceriasmexico_bucerias,"['buceriasnayaritmexico', 'mexico', 'buceriasmexico', 'bucerias', 'decepcionan', 'mentoplastia', 'menton', 'depot', 'cemex', 'coldmoon']","['buceriasnayaritmexico mexico', 'buceriasnayaritmexico mexico', 'buceriasnayaritmexico mexico']"
119,42,119_guia_guias_experiencia_aprendi,"['guia', 'guias', 'experiencia', 'aprendi', 'desilusione', 'profesional', 'formuladas', 'respondido', 'cuidaron', 'preguntas']","['aventura hermana divertida aprendi guia mantuvo informados seguro aprendi camarografo super asistente gracias experiencia maravillosa gracias', 'aventura hermana divertida aprendi guia mantuvo informados seguro aprendi camarografo super asistente gracias experiencia maravillosa gracias', 'empieza dando paso carrera merece stethoscope sparkles medico profesional salud credito inversion ayudarte abrir consultorio equiparlo adquirir maquinaria especializada creditaria ayudamos estructurar financiamiento ideal enfoques importante pacientes mobile phone with arrow escribenos conoce opciones disponibles sector salud inversiones emprendedores finanzasinteligentes islacozumel playadelcarmenmexico']"
120,42,120_nick_animacion_denisse_equipo,"['nick', 'animacion', 'denisse', 'equipo', 'atento', 'super', 'atencion', 'comida', 'rica', 'deliciosa']","['comida parque deliciosa gusto super equipo animacion gracias equipo nick equipo', 'excelente comida deliciosa super animacion limo experiencia completa personal amable atento tiempos equipo seguridad nick denisse super atento experiencia general familia', 'instalaciones increibles actividades comida rica super amable atento personal nick experiencia increible equipo chicos nick denisse actividades divertidas disfrute limo']"
121,42,121_terraza_bar_tema_plan,"['terraza', 'bar', 'tema', 'plan', 'malecon', 'acompano', 'honestamente', 'molestar', 'volveria', 'llevado']","['valio pena bar terraza malecon terraza vista tema ubicacion plan tranquilo domingo movimos pie complicarnos quede ganas repetir visitas dejan sabor boca', 'encanto bar terraza malecon terraza vista honestamente tema vista destaco familia vacaciones semana siente llevadero volveria incluir viaje quedamos ganas volver tiempo', 'encanto bar terraza malecon terraza vista honestamente tema servicio sumo muchisimo amigos vacaciones temporada alta imagino cambia definitivamente volveria nota lugar llevado']"
122,41,122_romantica_zona_tema_movimiento,"['romantica', 'zona', 'tema', 'movimiento', 'siente', 'sorprendio', 'mediodia', 'llevadero', 'complicarnos', 'movimos']","['sorpresa zona romantica zonas ambiente tema experiencia general supero esperado amigos vacaciones zona movimiento recomiendo problema nota lugar llevado', 'excelente visita zona romantica zonas ambiente honestamente tema vista impresion atardecer semana siente llevadero parada recomendable quedamos ganas volver tiempo', 'general zona romantica siente vivo tema relacion calidadprecio pareja atardecer zona movimiento vale pena nota lugar llevado']"
123,41,123_bahia_bahias_resorts_cacaluta,"['bahia', 'bahias', 'resorts', 'cacaluta', 'areas', 'norte', 'pacifico', 'carreteras', 'hermosas', 'exploramos']","['bahia norte playa bahia facil caminar millas pasadas hoteles complejos turisticos deportes acuaticos bahia vista pie bahia vida silvestre excelente lugar pasar', 'bahia bahias lejanas brindan proteccion bahia resorts resorts pacifico abiertos frente bahia excelentes playas visite puerto vallarta probablemente bahia resorts ballenas', 'bahia bahias lejanas brindan proteccion bahia resorts resorts pacifico abiertos frente bahia excelentes playas visite puerto vallarta probablemente bahia resorts ballenas']"
124,40,124_surf_boogie_surfistas_olas,"['surf', 'boogie', 'surfistas', 'olas', 'tablas', 'barro', 'pare', 'desembocadura', 'restaurante', 'restaurantes']","['hermosa playa realmente restaurante ciudad playa correcta olas surfistas surf tranquilo', 'playa bahia agua olas tiempos atras cuerpo surf boogie board surf agua carrera restaurante playa agradable vendedores amable', 'olas corto obtener genial pequeno restaurante playa comida cerveza fria surf tablas boogie alquiler']"
125,40,125_avistamiento_ballenas_tema_sintio,"['avistamiento', 'ballenas', 'tema', 'sintio', 'apresurado', 'esperado', 'ganas', 'logistica', 'positiva', 'llevada']","['sorpresa avistamiento ballenas sintio apresurado tema ambiente marco diferencia positiva ninos mediodia temporada alta imagino cambia definitivamente volveria quedamos ganas volver tiempo', 'temporada avistamiento ballenas mira viaje avistamiento ballenas vale pena viaje', 'temporada avistamiento ballenas mira viaje avistamiento ballenas vale pena viaje']"
126,39,126_pesos_entrada_cenote_500,"['pesos', 'entrada', 'cenote', '500', '30', 'precio', '150', 'caso', 'vestidores', 'persona']","['super caro servicios ofrecen cenote 5 estrellas visita obligada 30 usd 500 pesos sobra persona precio desorbitado siquiera estacionamiento seguro tocan silbatos gritan sales diciendo cerrados faltan 20 minutos hora cierre anunciada cierre anunciado 4 45 sacan agua 4 30 tocar silbatos 5 minutos salen aceptable previsible lugar cobra 5 usd persona inaceptable lugar tanta prestigiosa actuacion mascaras rentan identificacion calidad tienda dolar snorkels calidad salvavidas duermen miran tiktok lugar vigilar gente quieres gafas protectoras preparate despertar pase dormido dandote par cambio identificacion quiero manipule objetos delicados casilleros cuestan 30 pesos suficientemente mochilas tamano mediano siquiera casilleros gratis pagas 30 usd persona locura puedes calcetines acuaticos chalecos salvavidas obligatorios vienen incluidos precio entrada hamacas mesas picnic mesas sillas plastico banos gratuitos sucios malolientes visitantes pagan puedes comprar boleto 4 15 preparate griten silben 10 minutos cierren cenote palitos plastico neon area exclusiva tortugas lastima permitan tanta basura plastica visible cenote pagas 30 lugar necesita administracion', 'realmente sorprendente vale pena precio organizado adultos pagaron pesos efectivo tomaron colectivo playa paradas entrada delantera derecha pagando sentarse area espera areas abiertas cubiertas pequena tienda refrigerios llamada grupos personas reservadas colocaron grupos grupo camioneta pequena area entrada cueva cambiaron trajes bano reunieron casilleros guias provistos candados zapatos agua trajes neopreno chalecos salvavidas casco luz opcional baston incluido precio necesita traer traje bano cambiado ducha aire libre enjuague lociones corporales camino area obtener equipo lleno lugar definitivamente tiempo ocupado terminado regresar equipo contento guias nombre amigable seguridad informado esperado realmente experiencia cuevas vista increible ceremonia bendicion maya inicio paso horas sistema cuevas auto fotografo tomando fotos frecuencia normalmente plan comprar caso ofrecido oportunidad parar mirar paso grupo escucho grupo aparte grupos pie dificil tocar lados aceites manos baston lugares dificiles especialmente fondo oscuro cubierto agua lugares encantadores vadear flotar nadar almuerzo presentado mesas comer tomo minutos tranquilamente almorzar permitiendo cambio tiempo queria comprar fotos camioneta llevandonos entrada trasera realidad irse obteniendo tiempo tomo colectivo carretera regreso playa cuevas realmente increible alegro ido', 'realmente sorprendente vale pena precio organizado adultos pagaron pesos efectivo tomaron colectivo playa paradas entrada delantera derecha pagando sentarse area espera areas abiertas cubiertas pequena tienda refrigerios llamada grupos personas reservadas colocaron grupos grupo camioneta pequena area entrada cueva cambiaron trajes bano reunieron casilleros guias provistos candados zapatos agua trajes neopreno chalecos salvavidas casco luz opcional baston incluido precio necesita traer traje bano cambiado ducha aire libre enjuague lociones corporales camino area obtener equipo lleno lugar definitivamente tiempo ocupado terminado regresar equipo contento guias nombre amigable seguridad informado esperado realmente experiencia cuevas vista increible ceremonia bendicion maya inicio paso horas sistema cuevas auto fotografo tomando fotos frecuencia normalmente plan comprar caso ofrecido oportunidad parar mirar paso grupo escucho grupo aparte grupos pie dificil tocar lados aceites manos baston lugares dificiles especialmente fondo oscuro cubierto agua lugares encantadores vadear flotar nadar almuerzo presentado mesas comer tomo minutos tranquilamente almorzar permitiendo cambio tiempo queria comprar fotos camioneta llevandonos entrada trasera realidad irse obteniendo tiempo tomo colectivo carretera regreso playa cuevas realmente increible alegro ido']"
127,39,127_perro_gato_gatos_perros,"['perro', 'gato', 'gatos', 'perros', 'amante', 'canino', 'aseo', 'halloween', 'peluquero', 'perrofeliz']","['pequenos corazon rojo huellas patas amante perros amante gatos perro halloween dogsofinstagram vida perro fotografia perro modelo perro mama perro entrenamiento canino aseo perros aseo instado perro peluquero perros vida gato gatos memes gato foto gato gato veterinaria perros perrofeliz gatopersa gatofeliz playadelcarmen playacar xcalacoco cancun', 'pequenos huellas patas corazon rojo amante perros amante gatos perro halloween dogsofinstagram vida perro fotografia perro modelo perro mama perro entrenamiento canino aseo perros aseo instado perro peluquero perros vida gato gatos memes gato foto gato gato veterinaria perros perrofeliz gatopersa gatofeliz playadelcarmen playacar xcalacoco cancun', 'pequenos corazon rojo huellas patas amante perros amante gatos perro halloween dogsofinstagram vida perro fotografia perro modelo perro mama perro entrenamiento canino aseo perros aseo instado perro peluquero perros vida gato gatos memes gato foto gato gato veterinaria perros perrofeliz gatopersa gatofeliz playadelcarmen playacar xcalacoco cancun']"
128,39,128_padre_pais_profe_padres,"['padre', 'pais', 'profe', 'padres', 'conap', 'remuneracion', 'chela', 'apesar', 'recorri', 'mazatlan']","['padre', 'padre', 'padre']"
129,38,129_boutique_romantica_zona_tema,"['boutique', 'romantica', 'zona', 'tema', 'checkin', 'hotel', 'conviene', 'dormimos', 'bloqueador', 'muchisimo']","['visita hotel boutique zona romantica checkin rapido amable tema organizacion impresion pareja semana calor fuerte conviene agua bloqueador regresaria quedamos ganas volver tiempo', 'encanto hotel boutique zona romantica checkin rapido amable general tema servicio ninos manana calor fuerte conviene agua bloqueador parada recomendable gente disfrutar', 'excelente visita hotel boutique zona romantica ubicacion ayuda muchisimo tema servicio pareja atardecer calor fuerte conviene agua bloqueador definitivamente volveria quedamos ganas volver tiempo']"
